S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;poker_hand
Clubs;Ten;Spades;Five;Spades;Ace;Spades;Nine;Diamonds;Jack;One pair
Clubs;Three;Hearts;Two;Clubs;Two;Hearts;Five;Hearts;Jack;Two pairs
Hearts;Ace;Clubs;Eight;Clubs;Ten;Diamonds;Queen;Hearts;Queen;Two pairs
Spades;Ten;Clubs;Nine;Spades;Three;Spades;Queen;Clubs;Seven;One pair
Clubs;Three;Clubs;Seven;Diamonds;Ace;Hearts;Queen;Clubs;Nine;One pair
Clubs;Six;Spades;Nine;Clubs;Queen;Diamonds;Four;Spades;Four;Two pairs
Clubs;Seven;Spades;Ten;Hearts;Four;Hearts;Nine;Spades;Eight;One pair
Clubs;Seven;Diamonds;King;Diamonds;Nine;Diamonds;Two;Spades;Five;One pair
Hearts;Five;Clubs;Two;Clubs;Eight;Hearts;Six;Hearts;Jack;One pair
Diamonds;Ace;Spades;Three;Hearts;Eight;Spades;Jack;Clubs;Ten;One pair
Spades;Ace;Hearts;Five;Spades;Two;Clubs;Five;Spades;Seven;Two pairs
Diamonds;Three;Clubs;Three;Diamonds;Ace;Hearts;Nine;Spades;Two;Two pairs
Spades;Seven;Clubs;Six;Diamonds;Jack;Clubs;Nine;Spades;Two;One pair
Clubs;King;Diamonds;Five;Spades;Nine;Spades;Five;Diamonds;Ten;Two pairs
Diamonds;Jack;Hearts;Seven;Spades;Two;Diamonds;Ace;Diamonds;Nine;One pair
Clubs;Five;Hearts;Four;Spades;Five;Spades;Two;Hearts;Five;Straight
Clubs;Ace;Hearts;Three;Clubs;Three;Hearts;Seven;Hearts;Jack;Two pairs
Diamonds;Four;Clubs;Four;Diamonds;Three;Spades;Ten;Hearts;Ace;Two pairs
Clubs;Nine;Spades;Jack;Hearts;Two;Spades;Six;Clubs;Two;Two pairs
Hearts;Jack;Diamonds;Two;Spades;Five;Clubs;Ace;Clubs;Three;One pair
Diamonds;Three;Clubs;Three;Diamonds;Queen;Spades;King;Diamonds;Eight;Two pairs
Spades;Ten;Spades;Five;Spades;Two;Spades;King;Clubs;Nine;One pair
Spades;Ace;Hearts;Six;Spades;Five;Diamonds;Eight;Diamonds;Four;One pair
Diamonds;Queen;Spades;Queen;Clubs;Five;Hearts;Six;Hearts;Two;Two pairs
Hearts;Ace;Spades;Four;Clubs;Four;Hearts;Jack;Diamonds;Ten;Two pairs
Diamonds;King;Diamonds;Four;Hearts;Four;Diamonds;Jack;Diamonds;Ace;Two pairs
Clubs;King;Clubs;Four;Clubs;Ten;Spades;Eight;Diamonds;Jack;One pair
Diamonds;Five;Spades;Five;Diamonds;Ace;Spades;Ace;Clubs;Ace;Four of a kind
Diamonds;Jack;Spades;Seven;Hearts;Six;Clubs;Seven;Diamonds;Four;Two pairs
Spades;King;Spades;Three;Clubs;Eight;Diamonds;Ace;Diamonds;Jack;One pair
Hearts;Queen;Spades;Four;Diamonds;Four;Spades;Seven;Spades;Eight;Two pairs
Spades;Eight;Clubs;Jack;Spades;Five;Spades;Six;Clubs;Queen;One pair
Clubs;Five;Clubs;Nine;Diamonds;Ten;Diamonds;Four;Diamonds;Queen;One pair
Spades;Five;Diamonds;Four;Hearts;Two;Spades;Queen;Diamonds;Jack;One pair
Hearts;Three;Diamonds;Eight;Diamonds;King;Spades;Ace;Diamonds;Two;One pair
Diamonds;Six;Hearts;Three;Spades;Six;Hearts;Six;Diamonds;King;Straight
Hearts;Nine;Diamonds;Ten;Clubs;Six;Spades;Ten;Hearts;Queen;Two pairs
Clubs;King;Spades;Two;Hearts;Four;Hearts;Two;Clubs;Nine;Two pairs
Hearts;Jack;Clubs;Jack;Clubs;Queen;Diamonds;Six;Diamonds;Four;Two pairs
Spades;Ace;Diamonds;Five;Clubs;Two;Clubs;Four;Hearts;Ten;One pair
Hearts;Eight;Diamonds;Nine;Diamonds;Three;Diamonds;Four;Clubs;Queen;One pair
Spades;King;Clubs;Ten;Hearts;Jack;Spades;Ace;Clubs;Six;One pair
Spades;Ace;Diamonds;Ace;Clubs;Nine;Diamonds;Nine;Spades;King;Three of a kind
Hearts;Six;Hearts;Jack;Clubs;Jack;Diamonds;Six;Spades;Eight;Three of a kind
Diamonds;Six;Diamonds;Four;Clubs;Ten;Clubs;Ace;Hearts;Five;One pair
Clubs;Two;Diamonds;Six;Hearts;Ten;Diamonds;Jack;Spades;Five;One pair
Clubs;Nine;Hearts;Eight;Diamonds;Six;Hearts;Jack;Clubs;Jack;Two pairs
Spades;Two;Spades;Nine;Spades;Ten;Diamonds;Six;Hearts;King;One pair
Clubs;Two;Diamonds;Five;Spades;Seven;Diamonds;Eight;Diamonds;King;One pair
Clubs;King;Diamonds;Two;Diamonds;Nine;Diamonds;Six;Clubs;Seven;One pair
Diamonds;Six;Diamonds;Ten;Clubs;Ten;Clubs;Six;Hearts;Nine;Three of a kind
Clubs;Two;Spades;Six;Spades;Five;Hearts;Two;Clubs;Seven;Two pairs
Clubs;Four;Hearts;Three;Hearts;Five;Diamonds;Two;Hearts;Two;Two pairs
Clubs;Seven;Diamonds;Nine;Diamonds;Queen;Spades;King;Clubs;Ace;One pair
Spades;Queen;Clubs;Jack;Hearts;Queen;Clubs;Queen;Spades;Seven;Straight
Diamonds;Jack;Hearts;Nine;Spades;Seven;Clubs;King;Hearts;Eight;One pair
Clubs;Three;Spades;Six;Clubs;Nine;Spades;Queen;Clubs;Ace;One pair
Clubs;Ace;Spades;Five;Hearts;Three;Clubs;Five;Spades;Two;Two pairs
Spades;Five;Clubs;Jack;Hearts;Jack;Spades;Four;Hearts;Queen;Two pairs
Diamonds;Jack;Diamonds;Ten;Hearts;Ten;Spades;Jack;Clubs;Queen;Three of a kind
Spades;Five;Diamonds;Jack;Spades;Eight;Hearts;Nine;Hearts;Queen;One pair
Spades;Five;Spades;Ten;Spades;King;Hearts;Ten;Clubs;Jack;Two pairs
Diamonds;King;Hearts;Ten;Clubs;Jack;Clubs;Five;Spades;Seven;One pair
Spades;Eight;Spades;Ten;Diamonds;Five;Diamonds;Seven;Spades;Ace;One pair
Diamonds;Ten;Spades;Seven;Spades;Eight;Spades;Ace;Diamonds;Queen;One pair
Hearts;Ace;Hearts;Nine;Diamonds;Eight;Clubs;Seven;Diamonds;Five;One pair
Spades;Four;Hearts;Queen;Spades;Queen;Clubs;Two;Clubs;Ten;Two pairs
Spades;Ten;Spades;Eight;Hearts;Ace;Clubs;Ten;Clubs;Two;Two pairs
Spades;Nine;Hearts;Queen;Spades;Ten;Hearts;Six;Spades;Jack;One pair
Diamonds;Nine;Hearts;Seven;Spades;Two;Diamonds;Queen;Hearts;Five;One pair
Clubs;Nine;Clubs;Four;Hearts;Four;Spades;Five;Spades;Ace;Two pairs
Clubs;Three;Diamonds;Six;Spades;Four;Spades;Seven;Clubs;Queen;One pair
Clubs;Six;Spades;Six;Diamonds;Two;Clubs;Eight;Clubs;Ten;Two pairs
Clubs;Jack;Spades;Eight;Clubs;Ten;Spades;King;Hearts;Six;One pair
Diamonds;Ten;Diamonds;Queen;Clubs;Ten;Hearts;Ten;Spades;Ten;Straight flush
Clubs;Eight;Spades;Ten;Hearts;Seven;Diamonds;Seven;Hearts;Three;Two pairs
Clubs;Queen;Spades;Queen;Hearts;Three;Diamonds;Jack;Hearts;Queen;Straight
Clubs;Three;Spades;Three;Diamonds;Eight;Clubs;Six;Clubs;Jack;Two pairs
Hearts;Queen;Hearts;Two;Clubs;King;Diamonds;King;Diamonds;Eight;Two pairs
Spades;King;Spades;Eight;Diamonds;Eight;Clubs;King;Diamonds;Three;Three of a kind
Hearts;Jack;Clubs;Ace;Diamonds;Eight;Spades;Queen;Spades;Seven;One pair
Hearts;Nine;Hearts;Four;Hearts;Ten;Spades;King;Spades;Ten;Two pairs
Diamonds;Three;Clubs;Five;Hearts;Seven;Spades;Four;Diamonds;Ace;One pair
Diamonds;Five;Spades;Six;Spades;Three;Hearts;Jack;Hearts;Five;Two pairs
Diamonds;King;Clubs;Nine;Clubs;Ace;Diamonds;Queen;Diamonds;Six;One pair
Clubs;Seven;Diamonds;Four;Diamonds;Queen;Hearts;Three;Diamonds;Two;One pair
Diamonds;Six;Diamonds;King;Spades;Two;Clubs;Nine;Hearts;Eight;One pair
Spades;Ten;Clubs;Nine;Clubs;Seven;Hearts;Jack;Hearts;Ten;Two pairs
Clubs;Four;Diamonds;Five;Clubs;Nine;Clubs;Jack;Diamonds;Four;Two pairs
Diamonds;Four;Diamonds;Seven;Clubs;Three;Clubs;Two;Spades;Ace;One pair
Clubs;Nine;Diamonds;Five;Spades;Two;Diamonds;Eight;Clubs;Ten;One pair
Clubs;Three;Spades;Ace;Clubs;Two;Spades;Eight;Spades;King;One pair
Diamonds;Three;Clubs;Nine;Clubs;Eight;Diamonds;Seven;Spades;King;One pair
Spades;Queen;Clubs;Three;Hearts;Five;Spades;Ace;Diamonds;Five;Two pairs
Diamonds;Jack;Clubs;Queen;Clubs;Ten;Diamonds;Seven;Clubs;King;One pair
Clubs;Two;Spades;Six;Diamonds;Seven;Spades;Jack;Spades;Two;Two pairs
Clubs;Ace;Hearts;Three;Diamonds;Six;Clubs;Two;Clubs;Nine;One pair
Hearts;Four;Spades;Five;Spades;Nine;Hearts;Queen;Spades;Queen;Two pairs
Diamonds;Two;Diamonds;King;Hearts;Six;Spades;Four;Spades;Ten;One pair
Hearts;Six;Clubs;Two;Hearts;King;Spades;Eight;Hearts;Seven;One pair
Diamonds;Six;Diamonds;Queen;Hearts;Three;Hearts;Four;Spades;Four;Two pairs
Diamonds;Two;Spades;Three;Clubs;Ten;Clubs;Six;Spades;Two;Two pairs
Clubs;Eight;Diamonds;King;Diamonds;Seven;Clubs;Nine;Clubs;Three;One pair
Spades;Four;Diamonds;Seven;Spades;Eight;Spades;Nine;Spades;King;One pair
Hearts;Two;Diamonds;Nine;Diamonds;Jack;Diamonds;Eight;Spades;Jack;Two pairs
Clubs;Ace;Spades;Seven;Diamonds;Four;Clubs;Five;Clubs;Eight;One pair
Hearts;Four;Spades;Six;Diamonds;King;Spades;Five;Diamonds;Seven;One pair
Diamonds;Queen;Spades;Six;Clubs;King;Diamonds;Jack;Hearts;Seven;One pair
Hearts;Seven;Clubs;Two;Diamonds;Five;Spades;Jack;Clubs;Three;One pair
Clubs;Queen;Spades;Three;Hearts;Nine;Clubs;Nine;Spades;Six;Two pairs
Spades;Eight;Diamonds;Seven;Hearts;Eight;Hearts;King;Clubs;Six;Two pairs
Diamonds;Four;Clubs;Jack;Diamonds;Six;Clubs;Five;Hearts;Nine;One pair
Diamonds;Five;Hearts;Four;Spades;Four;Clubs;Three;Clubs;Ten;Two pairs
Clubs;Four;Spades;King;Clubs;Seven;Diamonds;Seven;Diamonds;King;Three of a kind
Spades;Six;Spades;Four;Diamonds;Queen;Diamonds;Nine;Clubs;Jack;One pair
Spades;Six;Diamonds;Six;Spades;Four;Hearts;Seven;Spades;Nine;Two pairs
Clubs;Eight;Clubs;Queen;Spades;Three;Hearts;Five;Hearts;Eight;Two pairs
Clubs;Three;Hearts;Queen;Clubs;Queen;Spades;Six;Diamonds;Jack;Two pairs
Diamonds;Eight;Diamonds;Jack;Clubs;King;Spades;Ace;Clubs;Ace;Two pairs
Diamonds;Three;Hearts;Ace;Clubs;Nine;Diamonds;Five;Hearts;Five;Two pairs
Diamonds;Nine;Spades;Jack;Diamonds;Five;Diamonds;Ace;Diamonds;Queen;One pair
Clubs;Queen;Hearts;Queen;Hearts;Four;Spades;King;Clubs;Nine;Two pairs
Diamonds;Nine;Hearts;Jack;Hearts;Six;Clubs;Two;Clubs;Ten;One pair
Clubs;Two;Diamonds;Two;Clubs;Ten;Spades;Eight;Spades;Jack;Two pairs
Hearts;Ace;Spades;Two;Spades;Seven;Diamonds;Six;Clubs;Ten;One pair
Clubs;Ten;Spades;Ten;Clubs;Jack;Spades;Four;Clubs;Four;Three of a kind
Diamonds;Four;Diamonds;Three;Hearts;Two;Diamonds;Seven;Hearts;Seven;Two pairs
Clubs;Jack;Diamonds;Nine;Hearts;Seven;Spades;Eight;Clubs;Four;One pair
Clubs;Ten;Diamonds;Eight;Spades;Queen;Hearts;Ace;Diamonds;Jack;One pair
Diamonds;Eight;Clubs;Four;Hearts;Queen;Clubs;Queen;Hearts;Seven;Two pairs
Hearts;Jack;Clubs;Seven;Clubs;Three;Clubs;Nine;Spades;Six;One pair
Clubs;Eight;Spades;Nine;Spades;Six;Diamonds;Six;Spades;Jack;Two pairs
Clubs;Three;Hearts;Ten;Clubs;Seven;Hearts;Queen;Spades;Six;One pair
Diamonds;Seven;Clubs;Eight;Hearts;Ace;Clubs;Three;Clubs;Jack;One pair
Spades;Ace;Diamonds;Five;Spades;Nine;Spades;Three;Diamonds;Four;One pair
Spades;Three;Spades;Five;Clubs;Nine;Spades;Four;Diamonds;Nine;Two pairs
Hearts;Ace;Clubs;Ace;Diamonds;Jack;Hearts;Eight;Hearts;Nine;Two pairs
Diamonds;Eight;Clubs;Six;Spades;Eight;Spades;Jack;Clubs;Four;Two pairs
Clubs;Two;Diamonds;Seven;Clubs;Three;Clubs;Jack;Diamonds;King;One pair
Diamonds;Four;Hearts;Queen;Clubs;Seven;Hearts;Eight;Hearts;Ten;One pair
Clubs;Two;Diamonds;Eight;Spades;Four;Clubs;Eight;Spades;Ten;Two pairs
Diamonds;Three;Hearts;Ace;Clubs;Two;Hearts;Seven;Hearts;King;One pair
Diamonds;Three;Clubs;Ten;Spades;Five;Hearts;Six;Spades;Three;Two pairs
Spades;Five;Clubs;Jack;Clubs;Nine;Clubs;Ace;Diamonds;Ace;Two pairs
Hearts;Four;Spades;Jack;Clubs;Four;Spades;Four;Spades;Ace;Straight
Diamonds;Three;Spades;Ace;Clubs;Five;Spades;Seven;Diamonds;Five;Two pairs
Spades;Nine;Hearts;Nine;Clubs;Ace;Clubs;Eight;Clubs;Queen;Two pairs
Clubs;King;Diamonds;Four;Clubs;Jack;Spades;Four;Spades;Two;Two pairs
Clubs;Five;Diamonds;King;Spades;Ten;Diamonds;Three;Diamonds;Eight;One pair
Spades;Seven;Diamonds;Eight;Clubs;Ace;Diamonds;Queen;Diamonds;Three;One pair
Clubs;Six;Spades;Two;Spades;Five;Hearts;King;Clubs;Four;One pair
Spades;Seven;Diamonds;Queen;Clubs;Four;Hearts;Eight;Clubs;Five;One pair
Spades;Jack;Clubs;Seven;Diamonds;Ace;Clubs;Two;Spades;King;One pair
Diamonds;Jack;Spades;Three;Clubs;Three;Spades;Nine;Hearts;Five;Two pairs
Spades;Two;Clubs;Six;Diamonds;Jack;Clubs;King;Diamonds;Eight;One pair
Diamonds;King;Diamonds;Seven;Diamonds;Nine;Diamonds;Eight;Clubs;Three;One pair
Spades;Jack;Clubs;Six;Diamonds;Six;Spades;Nine;Spades;Three;Two pairs
Hearts;Queen;Hearts;Nine;Clubs;Nine;Hearts;Seven;Clubs;Ten;Two pairs
Hearts;Two;Hearts;Four;Spades;Ace;Clubs;Six;Diamonds;Ace;Two pairs
Hearts;Four;Spades;Three;Diamonds;Four;Hearts;Queen;Clubs;Five;Two pairs
Diamonds;Three;Spades;Four;Clubs;Eight;Diamonds;Seven;Spades;King;One pair
Clubs;Six;Diamonds;Jack;Spades;Ace;Hearts;Four;Clubs;King;One pair
Diamonds;Seven;Hearts;Two;Diamonds;Ten;Spades;Nine;Spades;Four;One pair
Spades;Four;Hearts;Jack;Hearts;Queen;Diamonds;Four;Hearts;Eight;Two pairs
Hearts;Four;Diamonds;Four;Spades;Ace;Diamonds;Queen;Spades;Jack;Two pairs
Spades;Ten;Diamonds;King;Hearts;Eight;Clubs;Eight;Spades;Two;Two pairs
Spades;Nine;Spades;Ace;Diamonds;Nine;Clubs;Jack;Spades;Queen;Two pairs
Clubs;Eight;Diamonds;Two;Diamonds;Ten;Clubs;Four;Diamonds;Eight;Two pairs
Diamonds;Jack;Hearts;King;Hearts;Two;Hearts;Jack;Spades;Jack;Straight
Spades;Four;Hearts;Three;Clubs;King;Hearts;Eight;Clubs;Jack;One pair
Clubs;Eight;Diamonds;Ace;Diamonds;Six;Diamonds;King;Clubs;Jack;One pair
Diamonds;Six;Clubs;Eight;Spades;King;Clubs;Nine;Spades;Three;One pair
Diamonds;Eight;Hearts;Eight;Spades;Six;Hearts;Ace;Spades;Eight;Straight
Hearts;Queen;Diamonds;Six;Hearts;Eight;Diamonds;Nine;Spades;Ace;One pair
Hearts;Two;Hearts;Seven;Spades;Eight;Spades;Three;Diamonds;Nine;One pair
Hearts;Ten;Spades;Six;Hearts;Ace;Diamonds;Jack;Hearts;Seven;One pair
Spades;Ace;Hearts;Jack;Spades;Queen;Diamonds;Three;Spades;Five;One pair
Clubs;Eight;Hearts;Three;Hearts;Jack;Spades;Ten;Clubs;Five;One pair
Clubs;Nine;Hearts;Four;Spades;Nine;Clubs;Four;Spades;Ace;Three of a kind
Diamonds;Three;Spades;Ten;Hearts;Queen;Hearts;Eight;Hearts;Two;One pair
Hearts;Ten;Diamonds;Nine;Hearts;Nine;Spades;Six;Clubs;Eight;Two pairs
Clubs;Three;Diamonds;Two;Hearts;Two;Diamonds;Ace;Spades;Six;Two pairs
Clubs;Five;Hearts;Three;Clubs;Seven;Spades;Jack;Diamonds;Queen;One pair
Clubs;Eight;Spades;Five;Clubs;Six;Spades;Two;Diamonds;Six;Two pairs
Clubs;Five;Hearts;Seven;Clubs;King;Hearts;Ace;Diamonds;Five;Two pairs
Spades;Seven;Hearts;Jack;Hearts;Four;Diamonds;Five;Hearts;Two;One pair
Spades;Three;Spades;Four;Hearts;Four;Spades;King;Clubs;Four;Straight
Clubs;Six;Hearts;Eight;Spades;Ten;Hearts;Four;Clubs;Ten;Two pairs
Diamonds;Seven;Diamonds;Ten;Clubs;Ten;Clubs;Three;Hearts;Nine;Two pairs
Hearts;Queen;Diamonds;Four;Spades;King;Spades;Seven;Clubs;Jack;One pair
Hearts;Seven;Diamonds;Ten;Hearts;Five;Clubs;Jack;Diamonds;Five;Two pairs
Clubs;Eight;Hearts;Six;Spades;Four;Clubs;Jack;Spades;Eight;Two pairs
Diamonds;Three;Diamonds;Four;Spades;Jack;Clubs;Nine;Diamonds;Queen;One pair
Diamonds;Seven;Spades;Five;Clubs;Ace;Hearts;Three;Diamonds;King;One pair
Clubs;Eight;Hearts;Queen;Clubs;Five;Diamonds;Seven;Hearts;Eight;Two pairs
Clubs;King;Spades;Queen;Clubs;Eight;Clubs;Ten;Spades;Two;One pair
Diamonds;Five;Clubs;Ace;Clubs;Five;Clubs;Three;Hearts;Three;Three of a kind
Clubs;Three;Diamonds;Ace;Diamonds;Nine;Spades;Eight;Spades;Queen;One pair
Hearts;Five;Clubs;Queen;Hearts;Jack;Diamonds;Nine;Spades;Eight;One pair
Clubs;Ten;Hearts;Six;Diamonds;Two;Clubs;Nine;Clubs;Two;Two pairs
Diamonds;Ace;Hearts;Eight;Clubs;Eight;Spades;Ten;Clubs;Nine;Two pairs
Spades;Three;Diamonds;Two;Clubs;Queen;Hearts;Five;Clubs;Three;Two pairs
Spades;Four;Diamonds;Four;Diamonds;Queen;Spades;Six;Spades;Queen;Three of a kind
Hearts;Five;Diamonds;Queen;Hearts;Three;Clubs;Five;Spades;Ten;Two pairs
Spades;King;Hearts;Queen;Hearts;Two;Clubs;King;Spades;Four;Two pairs
Hearts;Four;Hearts;Three;Diamonds;Nine;Diamonds;King;Clubs;Ten;One pair
Spades;King;Spades;Jack;Diamonds;Three;Hearts;Two;Spades;Ace;One pair
Hearts;King;Hearts;Three;Hearts;Queen;Clubs;Ace;Diamonds;Nine;One pair
Spades;Six;Hearts;Five;Spades;Three;Diamonds;Four;Hearts;Ace;One pair
Spades;Ace;Clubs;Six;Spades;Four;Hearts;Ace;Hearts;Three;Two pairs
Clubs;Four;Spades;Nine;Clubs;Six;Hearts;Ten;Clubs;Eight;One pair
Hearts;Queen;Clubs;Two;Spades;Jack;Diamonds;Queen;Spades;Ten;Two pairs
Diamonds;Five;Clubs;King;Clubs;Two;Diamonds;King;Hearts;Four;Two pairs
Diamonds;Six;Spades;Queen;Spades;Ten;Hearts;Four;Hearts;Queen;Two pairs
Spades;Eight;Diamonds;Queen;Diamonds;Ten;Clubs;Nine;Clubs;Ace;One pair
Diamonds;King;Spades;Ace;Spades;Five;Diamonds;Six;Clubs;Six;Two pairs
Hearts;Ace;Clubs;Jack;Hearts;Nine;Hearts;Three;Diamonds;Four;One pair
Diamonds;Ace;Diamonds;Six;Hearts;Seven;Spades;Queen;Spades;Seven;Two pairs
Clubs;King;Clubs;Eight;Hearts;King;Spades;Three;Spades;Two;Two pairs
Diamonds;Ace;Hearts;Ten;Hearts;Five;Spades;Five;Hearts;Three;Two pairs
Spades;Two;Diamonds;Nine;Clubs;Three;Spades;Nine;Spades;Jack;Two pairs
Hearts;King;Clubs;Jack;Clubs;Four;Clubs;Two;Clubs;Five;One pair
Hearts;Seven;Clubs;Four;Diamonds;Ten;Clubs;Ten;Diamonds;Nine;Two pairs
Clubs;Four;Hearts;Nine;Diamonds;Jack;Clubs;Eight;Clubs;Two;One pair
Spades;Six;Spades;Four;Diamonds;Jack;Clubs;Two;Clubs;Five;One pair
Clubs;Six;Spades;Three;Hearts;Three;Clubs;Ten;Diamonds;Ace;Two pairs
Clubs;Four;Hearts;Nine;Diamonds;Two;Spades;Ace;Hearts;Three;One pair
Diamonds;Jack;Hearts;Six;Hearts;Three;Spades;Seven;Diamonds;Five;One pair
Spades;King;Spades;Queen;Diamonds;Five;Clubs;Eight;Hearts;Ten;One pair
Clubs;King;Diamonds;Eight;Spades;King;Clubs;Three;Diamonds;Nine;Two pairs
Spades;Ace;Hearts;Ace;Spades;Eight;Diamonds;Nine;Clubs;Ten;Two pairs
Clubs;Six;Clubs;Eight;Hearts;Four;Clubs;Five;Spades;Jack;One pair
Spades;Seven;Clubs;Seven;Spades;Ace;Hearts;Four;Hearts;Nine;Two pairs
Hearts;Seven;Hearts;Two;Hearts;Ten;Hearts;Jack;Hearts;Nine;Full house
Diamonds;King;Clubs;Queen;Diamonds;Nine;Spades;Six;Clubs;Nine;Two pairs
Spades;King;Diamonds;Five;Hearts;Three;Spades;Jack;Clubs;Queen;One pair
Hearts;Six;Clubs;Ace;Clubs;Queen;Hearts;Ten;Spades;King;One pair
Diamonds;Six;Hearts;Seven;Hearts;King;Diamonds;Nine;Diamonds;Queen;One pair
Clubs;Six;Spades;Ten;Diamonds;Nine;Hearts;Two;Spades;Three;One pair
Spades;Ace;Hearts;Seven;Clubs;Three;Spades;Jack;Clubs;King;One pair
Hearts;Four;Spades;Ace;Hearts;Seven;Hearts;Six;Spades;Seven;Two pairs
Clubs;King;Clubs;Seven;Diamonds;Six;Hearts;Ace;Clubs;Jack;One pair
Clubs;Seven;Hearts;Jack;Spades;Two;Diamonds;Nine;Hearts;Five;One pair
Spades;Seven;Clubs;Ace;Spades;Jack;Clubs;Queen;Hearts;Five;One pair
Diamonds;Queen;Clubs;King;Clubs;Seven;Spades;Five;Clubs;Jack;One pair
Clubs;Three;Clubs;Two;Spades;Three;Clubs;Five;Hearts;Nine;Two pairs
Diamonds;Ten;Hearts;Nine;Spades;Seven;Hearts;Ace;Clubs;Six;One pair
Hearts;Jack;Clubs;Five;Spades;Two;Hearts;Two;Hearts;Ace;Two pairs
Diamonds;Eight;Spades;Jack;Clubs;Nine;Spades;Eight;Clubs;Queen;Two pairs
Diamonds;Three;Spades;Jack;Spades;Five;Hearts;Jack;Hearts;Queen;Two pairs
Spades;Ten;Clubs;Two;Spades;Five;Diamonds;Two;Spades;Seven;Two pairs
Hearts;King;Spades;Jack;Clubs;Seven;Clubs;Eight;Clubs;Queen;One pair
Spades;Ace;Diamonds;Eight;Hearts;Ace;Hearts;King;Diamonds;Jack;Two pairs
Clubs;King;Diamonds;Ace;Clubs;Ace;Hearts;Jack;Spades;King;Three of a kind
Diamonds;Six;Clubs;King;Diamonds;Nine;Hearts;Ten;Clubs;Seven;One pair
Clubs;Jack;Spades;Ten;Clubs;Ten;Diamonds;Nine;Spades;Queen;Two pairs
Clubs;Ten;Clubs;Jack;Diamonds;Jack;Clubs;Ace;Spades;Ace;Three of a kind
Spades;Five;Diamonds;Ace;Clubs;Ace;Spades;Two;Clubs;Six;Two pairs
Hearts;Four;Hearts;Ten;Clubs;Nine;Clubs;Eight;Spades;Ten;Two pairs
Spades;Seven;Diamonds;Four;Diamonds;Seven;Hearts;Three;Spades;Four;Three of a kind
Clubs;Queen;Spades;Jack;Diamonds;Jack;Diamonds;Three;Spades;Five;Two pairs
Diamonds;Jack;Spades;Six;Spades;Two;Spades;Queen;Clubs;Five;One pair
Hearts;Ten;Clubs;Four;Hearts;Three;Diamonds;Two;Spades;Jack;One pair
Clubs;Two;Clubs;Three;Clubs;Seven;Hearts;Queen;Hearts;King;One pair
Clubs;Three;Hearts;Queen;Hearts;Ace;Clubs;King;Clubs;Four;One pair
Hearts;Eight;Diamonds;King;Diamonds;Ace;Diamonds;Eight;Spades;Ace;Three of a kind
Diamonds;Five;Diamonds;Eight;Hearts;Seven;Hearts;Queen;Hearts;Jack;One pair
Spades;Nine;Clubs;Ten;Spades;King;Hearts;Jack;Hearts;Four;One pair
Spades;Five;Diamonds;Two;Hearts;Seven;Hearts;Three;Diamonds;King;One pair
Clubs;Ace;Spades;Six;Diamonds;Four;Diamonds;Ten;Clubs;Ten;Two pairs
Spades;Six;Diamonds;Jack;Hearts;Jack;Spades;Ten;Clubs;Two;Two pairs
Diamonds;Seven;Diamonds;Three;Clubs;Nine;Spades;Queen;Hearts;Seven;Two pairs
Diamonds;Five;Hearts;Jack;Diamonds;Four;Diamonds;Seven;Spades;Ace;One pair
Spades;Four;Diamonds;King;Clubs;Five;Diamonds;Ten;Clubs;Seven;One pair
Diamonds;Six;Hearts;Seven;Clubs;Eight;Clubs;Two;Spades;Queen;One pair
Diamonds;Three;Hearts;Four;Spades;Seven;Diamonds;Five;Hearts;Eight;One pair
Spades;Two;Clubs;Ace;Spades;Six;Diamonds;King;Clubs;Seven;One pair
Clubs;Ace;Diamonds;Four;Spades;King;Hearts;Ten;Hearts;Nine;One pair
Hearts;Four;Spades;Jack;Hearts;Seven;Diamonds;Seven;Clubs;Two;Two pairs
Hearts;King;Spades;King;Diamonds;King;Diamonds;Queen;Clubs;Three;Straight
Hearts;Ace;Hearts;Nine;Clubs;Jack;Spades;Nine;Spades;King;Two pairs
Clubs;Four;Hearts;Ace;Spades;Five;Spades;Seven;Hearts;Two;One pair
Spades;Ten;Diamonds;Six;Spades;Queen;Hearts;Two;Diamonds;Five;One pair
Diamonds;Queen;Hearts;Four;Spades;Queen;Hearts;Three;Hearts;Ten;Two pairs
Spades;Eight;Spades;Three;Diamonds;Seven;Spades;Ace;Clubs;Nine;One pair
Diamonds;Three;Hearts;Ten;Clubs;Two;Spades;Nine;Clubs;Four;One pair
Spades;Eight;Clubs;Ten;Hearts;Nine;Diamonds;Two;Clubs;Jack;One pair
Hearts;Ace;Clubs;King;Hearts;Ten;Hearts;King;Hearts;Three;Two pairs
Clubs;Three;Hearts;Nine;Diamonds;Seven;Hearts;King;Diamonds;Eight;One pair
Diamonds;King;Hearts;Seven;Diamonds;Four;Hearts;King;Diamonds;Ten;Two pairs
Hearts;Two;Spades;Two;Spades;Three;Hearts;Five;Clubs;King;Two pairs
Hearts;Eight;Diamonds;King;Clubs;King;Hearts;Five;Diamonds;Four;Two pairs
Hearts;King;Spades;Ace;Diamonds;King;Diamonds;Four;Diamonds;Seven;Two pairs
Hearts;Two;Diamonds;Seven;Spades;Ace;Clubs;Six;Clubs;Five;One pair
Spades;Nine;Hearts;Two;Diamonds;Ten;Spades;Four;Hearts;Six;One pair
